"","X","tweet","annotation"
"3180",3180,"Who else remembers eating dry crushed ramen and the seasoning in elementary school or is that a fever dream",0
"3182",3182,"RT @IsItBrokenYet: If music is your thing; and you miss concerts and the social contact they bring; this might be for you. *cough @KyleGund…",0
"3184",3184,"@hojukoolander Saturday Night Fever: Pandemic Fashion",0
"3185",3185,"@thefemtrooper I got the moderna and had a slight headache and was very sleepy. Just for the day. And had the sore arm for a single day (got the shot on my bday)",0
"3186",3186,"@palinode @doctorcoffee Cough; Monterey  https://t.co/xURvKw5ZiE",0
"3190",3190,"another fever?? lessgoooooo",1
"3197",3197,"@drsusanshaw Thank you; Susan. I worry about long term sequalae because of his intense headache for 48 hours. The h… https://t.co/4cosqqfmsY",1
"3198",3198,"@JaniceLalibert2 He experienced a very sore throat; high fever & intense headache but seems to be much better today.",1
"3200",3200,"if youre gonna ask for a ft5 on stream dont ask for it while you have a headache; not my problem you wanted to fight while you had it.",0
"3201",3201,"@mariannevill714 I’m in pain and nauseated. I have no doubt I have a small concussion. It’s not my first trip to concussionland. Lol but I’m sure I’ll survive. Thank you.",0
"3202",3202,"Cough cough cough from person filming. “We love you Chris; you’re a legend. “ 🤮 A  Legend blah! https://t.co/MNOIUhAWHm",0
"3203",3203,"@Torguy68 I’m assuming the RCMP are looking into this vandalizing as a hate crime. Cough* cough*",0
"3204",3204,"@Arley_McNeney Right!? The fever and giant tonsils freaked me out at first",0
"3205",3205,"@Inevitable_ET @elenochle I cought that switch from q to q+ but did anuone notice the one post did not say q or q + the other day",0
"3211",3211,"@cadlymack @clmazin It gave me an actual headache.",0
"3213",3213,"@Puja70151769 @BiggBossFever He went to cut cake not to pacify fakenaaz😂",0
"3214",3214,"@lollibeepop Those rock. Your sense of taste should not be taken for Granite.",0
"3215",3215,"Cough Twitter keeps recommending the millions of new profiles of a guy who blocked me over something stupid a coupl… https://t.co/b7ULNMpDXS",0
"3218",3218,"Mark was doing a Corona isolation 25 years ago! https://t.co/6587Omrc7B",0
"3219",3219,"I’m certain daddy will have her run for office https://t.co/Qx9z8n53vn",0
"3220",3220,"@TDorjeArt Gravel has always made me more nauseous so I avoid it altogether 😆",0
"3221",3221,"@Yell0w_Fever @Walker_PLEASE Oh it could be I didn't pay any attention to them and their hash tags.",0
"3222",3222,"@kerriganlessor I don’t know and don’t have kids but I’ve had headaches since I could remember (now 48) so I can on… https://t.co/egAjS9I5Jh",0
"3223",3223,"@seamus_coughlin Your view is so twisted and cruel; I can hardly believe it.",0
"3224",3224,"RT @VIDOInterVac: ICYMI: associate director of research Dr. Andrew Van Kessel discusses African swine fever with @westernproducer   Read mo…",0
"3225",3225,"ICYMI: associate director of research Dr. Andrew Van Kessel discusses African swine fever with @westernproducer   R… https://t.co/6Tu5TkRTjx",0
"3226",3226,"@schmutzie I sometimes use coconut milk as a substitute. I can’t taste the difference usually.",0
"3230",3230,"@AdamsOnHockey It’s like we were fucked right from game #1 puck drop... Starting Smith then Klefbom coughing up the puck into the slot,  it seemed to set the tone for the whole series.. Make some major offseason moves please Holland",0
"3231",3231,"This is so beautiful ❤️❤️ it gives me chills 💕💕💕 https://t.co/O3PpDE4SkG",0
"3233",3233,"RT @CTVwdean: Perfect day on the course with the wonderful J  ⛳️🏌🏻‍♀️🏌🏻‍♂️  #SherwoodForestGCC https://t.co/roKt4jVKOC",0
"3234",3234,"@xChocoBars @riotgames @LeagueOfLegends Morde cause Leblanc gives me headaches",0
"3236",3236,"To be clear I felt fine this morning; just tired. I wouldnt have went in if i had a fever or other symptoms. I choc… https://t.co/R4sQ3e4KLm",0
"3240",3240,"RT @lainasparetime: Alright; I have eaten and don't have a splitting headache so bad all I want to do is cry like I did last week; so are y…",0
"3242",3242,"@DrKyle I can smell the burn already, but those covidiots have lost their sense of smell, so not sure if would change their minds. Unfortunately they have dug a big hole that they can’t seem to climb out of.",0
"3244",3244,"@lia_pas Investigating if my non-migraine headache and dangerously high BP and HR are caused by heart condition. We… https://t.co/Ev0wrO2YWQ",0
"3247",3247,"@storey_12 Nope. Mine wouldn't either. Spend a few days in a nauseated haze and gave up.",0
"3249",3249,"@The_LCC It's either that garbage or the filter they vomited all over Grandia.  They have no other ideas for how to… https://t.co/0jbbZQu8H3",0
"3252",3252,"these stomach aches are UNBEARABLE pls someone help me!!! is quinoa gluten free?! why is body behaving like this?! why am I dying????!",0
"3253",3253,"Pollution nearly doubles the risk of losing your sense of smell https://t.co/K61rZLenPo via @FuturityNews",0
"3256",3256,"@90ztrend 🤮 the term terf safe makes me nauseas",0
"3257",3257,"Aww; how sweet. Doesn't it make you want to throw up in your mouth a little? *It's mouth https://t.co/WuvYWzoQ6g",0
"3258",3258,"RT @AHiddyCBC: 198 new cases in 6 days in the province. Saskatchewan had 101 active cases on September 15.  Manitoba reported 173 new cases…",0
"3260",3260,"@elizabeelawson @GordWyant Gormley show June 10th. Segments are at the bottom of the page. 9:00min into Wyant segme… https://t.co/m7vw4SG43O",0
"3261",3261,"Harry Jerome. Former 100m WR holder Order of Canada Teacher https://t.co/FL60zBnXQf",0
"3265",3265,"busted 😂 https://t.co/Q5UJgzsYpd",0
"3266",3266,"@AngelaBelcamino Hes the most disgusting human I have witnessed in my life. He makes me throw up!",0
"3268",3268,"@macphersona I went for one last night; on a whim; without giving it too much thought. About an hour in; I had a tiny panic attack.",0
"3270",3270,"@AnthoPak Appaze is just THE BEST. Mad props to you.",0
"3271",3271,"I continue to deliver senior sciences courses to over 80 students per day; and the lessons are pretty damn good I might add.",0
"3274",3274,"I’m exhausted; have had a pounding headache all damn day; and am just so disappointed.",0
"3277",3277,"Fat people always smiling like they don't have trouble breathing at night 😂😂😂",0
"3278",3278,"When a song gives you chills not-even 30 seconds in; you know it's good. Congratulations @ShawnMendes and… https://t.co/EYcwqazlcS",0
"3280",3280,"@WesleyCoughlan @AgProducersSK Thank you!",0
"3281",3281,"RT @hbwstranger: guys niall horan het jaq",0
"3282",3282,"@thegoodgodabove To be fair; they base a lot of core beliefs on zero evidence.   *cough cough *",0
"3283",3283,"@ctvsaskatoon Bahahaha I had Covid and 5 months late I had a cough; must’ve been the virus lol #fearmongering",1
"3284",3284,"RT @tarahackl: @fionawren @SinaSpen Great. That means I’ll have a headache in Saskatoon in a few days ...",0
"3285",3285,"@fionawren @SinaSpen Great. That means I’ll have a headache in Saskatoon in a few days ...",0
"3288",3288,"@Foley4Real I just listened to the Rouge report with @CodyFajardo17 And @IsaacHarker05  and this memory gave me ((CHILLS))",0
"3290",3290,"@RepDougCollins Fa cough; Dougie.",0
"3295",3295,"It's impressive they can say the words 'Vote Trump' without vomiting 🤔 https://t.co/ueSInHP3p6",0
"3296",3296,"This is better. Should have done this the first time to support @Kayla_Grey https://t.co/gRwunXWI5z",0
"3297",3297,"@GlobalEdmonton @GlobalRegina That's a long line to wait in to get diarrhea",0
"3299",3299,"RT @innovationplace: Tech fatigue! It's a thing! And @Katrinavision tells us how we can combat it on @CTVMorningStoon.  (We definitely supp…",0
"3300",3300,"@ThatEricAlper Tom Perry’s Full Moon Fever!",0
"3301",3301,"Out shopping again and NO ONE is wearing masks!! Why are people not wearing them?? I’ve heard of covid fatigue but… https://t.co/cXzz11MxqB",0
"3302",3302,"Tech fatigue! It's a thing! And @Katrinavision tells us how we can combat it on @CTVMorningStoon.  (We definitely s… https://t.co/Tu9UCNULVN",0
"3303",3303,"RT @ctvregina: Here's what a national award-winning Regina home looks like https://t.co/FSbiGee0TQ #yqr https://t.co/RUcRN3nar9",0
"3304",3304,"@Stanliberty @ESPNNBA do you always like your own replies?",0
"3307",3307,"RT @CanadaGood: @SulomeAnderson Cough Out Loud #COL #cough22 #LOL: If you're still able to speak and call the hotline then obviously you're…",0
"3309",3309,"RT @leaderpost: Remote working offers employers and employees lots of opportunities – and just as many headaches https://t.co/he4vvmqfLh ht…",0
"3310",3310,"RT @BrandonMutala: Introducing Aubrey and Ezri to one of my favorites of all time!  #FanchiseFatigue @ufpearth https://t.co/ZmC9VetLIH",0
"3311",3311,"@DanRTSN you are the best play by play man on the radio.  I get chills when you bellow out the players name and the Habs score",0
"3313",3313,"Initial feelings of cabin fever and general stir-craziness:  Can we do life again; yet?  How about now?",0
"3314",3314,"This is the most ominous update I've seen to date. https://t.co/VGco5YcQL3",0
"3315",3315,"@thejesselarson Just have to endure cabin fever a while longer ☹️😉",0
"3316",3316,"@shanedawson No they make me nauseated lol. The only one I liked was Spy Kids 3D",0
"3318",3318,"RT @GlobalSaskatoon: WATCH: With temperatures dropping; we are more susceptible to colds; coughs and other health concerns. Garden Life of…",0
"3321",3321,"What felt like hours of nightmares left me with a massive headache. https://t.co/ktiIP5S55g",0
"3322",3322,"The COVID fatigue is setting in for me. I feel stressed and sad. The days of meeting up outside to reduce risk are… https://t.co/N8biQnnZE9",0
"3323",3323,"Your daily 2020 Election update: Cough keeps Melania Trump off trail; Wisconsin voters line up to cast early ballot… https://t.co/RNNjAY4bgt",0
"3327",3327,"my baby fever is cured",0
"3329",3329,"@bobclendenin @TomiLahren @cvpayne @FoxBusiness Now this guy is feverently checking to see if this is true...",0
"3331",3331,"@marinamaral2 Super cool! Only if someone could *cough* make it more colourful.",0
"3337",3337,"You're giving me chills at a hundred degrees",0
"3338",3338,"RT @partridge_tweet: Actually; let-let-let me rephrase that. Can I... No; in fact I'll just repeat the question. Have I got a second series?",0
"3339",3339,"RT @stephknee: Someone’s texting me in great detail about his trip to Wilko and I’m like; oh my god don’t stop I’m nearly there",0
"3340",3340,"@AngelC00l Cough cough @BigPeePeePete1",0
"3341",3341,"@JennieOutlaw That thread gave me a headache!",0
"3345",3345,"Have a nasty headache; didn't sleep very well; that means we still stream right? Right!   More FFXI. More leveling.… https://t.co/rCUVEHbFD2",0
"3346",3346,"@PrarieMountain Antibody test I think is a blood test. We both have runny noses; sore throats and cough so I figure… https://t.co/L6HBAqDios",1
"3348",3348,"@PrarieMountain We had the same here in November with all the CoVid symptoms. Except shortness of breath.",1
"3355",3355,"@BCStubblejumper @kerette45 @reesekober @Tinabanshee No sense of smell no problem!",0
"3357",3357,"@JohnGormleyShow I got a fever and the only prescription is isolating from the world for 14 days. https://t.co/kAChdMVjwv",0
"3359",3359,"@_shirley_anne @litleruby @vomitarebom @dianabarry___ @M_atthewShirley @gilbert_Blyther @admclara__ @admcerejinha… https://t.co/cWs2QtIHpv",0
"3360",3360,"@JillianLeeAdams Awkward boner. Lol. Yep; you made him ashamed to be human and go against bible(cough mans) principles.",0
"3362",3362,"@posadist_trapgd You'll be diarrhea-pilled in no time",0
"3363",3363,"Seeing @Clayster's passion at this point in his career gives me chills.",0
"3364",3364,"RT @Foghorn23782542: African Swine Fever Hong Kong Flu Spanish Flu West Nile Virus MERS (Middle East SARS) Dutch Elm disease Norway rat UN…",0
"3365",3365,"@RickiCoughlan @smilingcat10 @LozzaFox No; it’s exactly like that.  Unless there is a birth defect or mutation.  Ag… https://t.co/GeDhwywhYe",0
"3366",3366,"RT @CBCSaskatoon: Saskatoon mother believes son died participating in online challenge https://t.co/tVuQXHsDX4",0
"3367",3367,"@nicolacoughlan HUFFLEPUFF OF COURSE",0
"3369",3369,"@Living400lbs And tbh combining sudafed; morphine; and a headache kind of sounds like puke central.",0
"3371",3371,"Ever fudged your way through one of those Covid 'got a sore throat? headache? cough?' questionnaires? 

I'll be talking with Dr. Holinaty about why your family doctor is begging you to be honest, on @CBCSaskatoon today at 7:10 a.m.  #yxe https://t.co/zi2fLc3Y3N",0
"3374",3374,"@TheLaurenChen every time I see that guy I throw up a little.",0
"3375",3375,"@AnnB03 Must be going around.  I had a bit of a sore throat and then a headache for about four days.  Thought for s… https://t.co/zPySS86KMF",1
"3376",3376,"RT @RocketRundown: Potentially what the European launch market could look like by 2030? It seems unlikely there will be space for everyone.…",0
"3380",3380,"@VelvetRPresley Maine is into the kink.",0
"3381",3381,"@ksufearless @CR9090JK @dvanklomp @collegeboy75 That belt is the cause of so many headaches. Just can’t handle the… https://t.co/QFnUbnOvIE",0
"3383",3383,"“is this witch vomit” is a sentence i just said out loud.",0
"3386",3386,"@grandpadongdong at least you are safe; i would coughed in their face like bish",0
"3387",3387,"Lotta good those plexiglass shield do when you got a guy licking papers and handing them to the @NBAonTNT crew 🤦‍♂️",0
"3388",3388,"@ddale8 I'm getting a headache from hitting my forehead every time I read one of your tweets about this guy! Lol https://t.co/aLqqXbOdxY",0
"3389",3389,"@patheticmaru @littl_wife Baby fever on my tl",0
"3390",3390,"@ThomasPine Every time she opens her mouth I get a headache. (And I can't believe any man would fall for the fake ass biotch she is!!Proves to me its all in the appearances for most men...cause that personality!??🤢) LOL",0
"3391",3391,"RT @safeverytime: all i have on my tl are stuck with u videos; the word manifesting and people trying to get noticed by gemma collins",0
"3396",3396,"@bluejaysart We just rewatched that game and it still gives chills!",0
"3399",3399,"@RebBrewRegina I don't mention smell all that often cause honestly; my sense of smell sucks. So; if I get a big nos… https://t.co/Qu9haQPOiM",0
"3402",3402,"RT @SaskLass: Is it just me; or does anyone else find these adds absolutely nauseating?  Guess what? I love hugging friends and family too;…",0
"3405",3405,"COVID fatigue impacting current behaviours; says psychologist https://t.co/RZxlMiPMCq",0
"3407",3407,"@tracyreiter @CJW_101 I was telling him last night; dogs and diarrhea is the worst",0
"3408",3408,"@lakefever_ Yes and no.  Mostly you just have a village with animal residents you visit.  I’ve played all the other… https://t.co/yWGY7A2j0o",0
"3409",3409,"@TaylorAllen133 But the King’s on EOE. *cough* Rob *cough* https://t.co/3biNCbklqb",0
"3410",3410,"RT @MickleDJ: @vocjam @GailMyerscough Some small yet beautifully formed businesses ❤️  @electric_tees - Lyric T's 👕 @VimtoTime - Ace Cards…",0
"3413",3413,"Dam Jays and the Rays; always seem to cough up losses to them.....",0
"3414",3414,"@DarrenWHaynes This tweet reads like a fever dream. Being a #Flames fan is so bizarre.",0
"3417",3417,"@AMAZlNGSClENCE I would throw up so fast if I had a drink there 🤣",0
"3420",3420,"@GiGaSlime @Kmega4 @GuiltyGamerz @FocusHome It’s basically unplayable on Series S. that where I played it and it gave me a bad headache.",0
"3423",3423,"This week has been nothing but headache and hassle with @shawhelp. I dropped my cable and between being sent cable… https://t.co/IO5dn9sf7Z",0
"3424",3424,"RT @BrittneyMatejka: Severe thunderstorm warning: R.M. of Swift Current including Swift Current and Wymark R.M. of Lac Pelletier including…",0
"3425",3425,"RT @MINTOYASHI: I know Joy did my nigga Droid dirty but I still wanna chat her up and treat her right.",0
"3426",3426,"Can we get some more Marmaduke please?! This dog killin it 💀 https://t.co/xmzYiucXTL",0
"3427",3427,"@HexMix_ Fatigue is horrible. I hope you figure out a set up that works for you.",0
"3431",3431,"I want to throw up but my body is rejecting my request and now I'm in a loop of gagging and suffering",0
"3432",3432,"woke up with a headache 😩",0
"3433",3433,"@SketchesbyBoze I picked up my magic mirror *cough Google* and I asked it to show me this and it DID",0
"3436",3436,"@vampirerevenant I already have a headache and I still have to drive my mom to a doctor appointment. I'm gonna be in her when I get home",0
"3440",3440,"@ben__dover99 Sorta like the Eagles O-Line. Brandon Brooks and Lane Johnson are so in-sync that they throw up at the same time before every game.",0
"3441",3441,"Ugh I think I’m gonna throw up again",0
"3445",3445,"@kylembender ...Fatigue Syndrome. It's my krytponite; names, numbers, sequences, even remembering Bible verses. But big picture concepts, trends, and intuition remain intact. This is why I focus broadly on what I see, hear, read and watch, vs being the teacher type. Or the economics type.",0
"3446",3446,"@KrysonCJAY Im sorry; i have diarrhea",1
"3447",3447,"RT @honeykiiisses: @TheDoodleFox this took me way too long to edit lmao #redtailisoverparty https://t.co/QmzFMKYUEK",0
"3449",3449,"RT @ChristyCBC: Strong thunderstorms rolling across southern #Sask now. #skstorm https://t.co/Gawn8UQktZ",0
"3450",3450,"I tried; really tried to read the Biden-Sanders plan for America; but I was getting nauseous and angry at the same… https://t.co/dMb5c7fdkz",0
"3452",3452,"I will fight anyone who says Chronic Fatigue Syndrome and Fibro are the same. I have seen how Chronic Fatigue affec… https://t.co/cZ4nBSY3o7",0
"3454",3454,"@DrKyle Id love to see this guy go and work for $11.55 an hour at superstore with people sneezing and coughing all… https://t.co/habsZyTdjU",0
"3455",3455,"@itsmelenareese @DunkaFabio Yes chills nga; and hardly any singer could do that like Morissette. Playing instrument while singing.",0
"3458",3458,"@PeterMacKay Fa-cough; Petey. You are now officially irrelevant.",0
"3461",3461,"@MittRomney Yawn... All talk; no action. Fa-cough; Mitt.",0
"3463",3463,"@VincentRule *cough* 28th seed in baseball *cough* ;)",0
"3464",3464,"Reading this gave me a massive headache. Wtf is this nonsense. https://t.co/xPY1rRiulO",0
"3466",3466,"@PallaviGunalan Chills. Everytime.",0
"3473",3473,"@Homegrowngirl2 Electric Fever: Free Energy",0
"3474",3474,"@bloodwurm @techincollar GIVE ME THE FAWKIN TREATS JUST A LIEELE CRUMB OF VOMIT PLEASE I BEG OF YOU",0
"3477",3477,"RT @GlobalRegina: Yorkton Citizens on Patrol looking for extra ‘eyes and ears’ https://t.co/R4TgMEiEaV #sask",0
"3478",3478,"RT @littlered_ace: But Astrid; if you've muted everything to do with the chicom cough; how will you know if you're breaking the rules or no…",0
"3483",3483,"RT @wapimaskwa69: When you say 'poop' your mouth moves in the same way your anus does.  The same goes for 'explosive diarrhea'.",0
"3485",3485,"@kaykaelyn1 It was so awful!!! I have a headache today from yesterday’s noise 😭",0
"3486",3486,"@HonAhmedHussen @JustinTrudeau @mary_ng If you believe that; why don't you step down and give your position to a woman?*cough*🤔",0
"3487",3487,"this is just fn great; gave me chills haha. https://t.co/8kqgp8cweG",0
"3488",3488,"US social distancing fatigue worsens https://t.co/4WuTamRvR1 via @BBCNews",0
"3491",3491,"Cough slap laugh",0
"3493",3493,"While I was so happy to get this shot; it has kicked my ass. Was very sick from the 20 hour mark till now. Fever ha… https://t.co/KiXkUqiYRW",0
"3494",3494,"There’s never been a truer test of #resilience than during this pandemic and the fatigue we’ve all been experiencin… https://t.co/vaUtKiCc12",0
"3495",3495,"@p33p05hy Gives me a headache but I can read it amen 🙏",0
"3496",3496,"Why are you all celebrating a 0-0 draw?! You just made us watch a tickle fight for 93 minutes.",0
"3500",3500,"@Pookajutsu Got literal chills when the singing came in.",0
"3503",3503,"@Eiggam5955 Sore throat, chills, fever, headache. Worse I have COPD... so... pretty much scared shitless!!  On oxygen soooo that helps. 
Sorry if I brought mood down, wasn't my intention. Just my day today. 
I wish i fell in Cream Cheese...lol",1
"3506",3506,"Really big anxiety today. The nausea kind. The sit down on the floor and cry kind. The not knowing what to do and f… https://t.co/dBkh5qmyoY",0
"3511",3511,"Seeing @GGawdin skate tonight gave me chills! Couldn’t happen to a better guy!  Long; successful career ahead of hi… https://t.co/wS8RUrPazL",0
"3515",3515,"@CoughlinShelly @FoxfireAnomaly @blasianFMA .... Says the person who believes in a mythical sky god.",0
"3516",3516,"Today is the 15th day back from my stint in a front line fever clinic; in the New York hot zone. by @DrShlain https://t.co/90zjTUyzoa",0
"3519",3519,"The tests show that when the virus is carried by the droplets released when someone coughs or sneezes, it remains viable, or able to still infect people, in aerosols for at least three hours #YQR #YQRam #Sask #Covid19Canada #Covid19 #COVD19 #YXE  https://t.co/wmhA089PSS",0
"3522",3522,"RT @rhodrew_: @bieberfever happy birthday baby @justinbieber https://t.co/b3WSaMWsn2",0
"3523",3523,"@dengei_fever @DashCamMan4 @AdamGilson8 @gnomeboy7 @BrianMcSporran @Sarcastit @splavid_datrick @bingowings14… https://t.co/tRFVLuYjys",0
"3525",3525,"Woman Intentionally Coughs on Bartender in Belmont Bar https://t.co/zm00EfxPPy",0
"3526",3526,"@vomitarebom omg mu",0
"3527",3527,"Woke up sick today with a headache and a stuffed up nose. Just notified we were exposed to covid.   I didn’t realiz… https://t.co/FHbHfI5Ide",1
"3529",3529,"THAT’S your 4th & 1 play?! 🤦‍♂️ #Packers",0
"3536",3536,"RT @stevep44: I find using 'facough' instead keeps me out of Twitmo... https://t.co/cT3gll2mGo",0
"3540",3540,"Having a headache and laughing is a bad combo but I could not stop watching this 😂 https://t.co/dvcsvmlt6k",0
"3543",3543,"@wokedad999 i counted at least seven people openly coughing; sneezing; or wiping their nose with their hands 😖",0
"3545",3545,"In the eighties I had co-ed fever.",0
"3549",3549,"@GamerBrony921 @damonlefever @JolyneVerso @RaymanForSmash Yeah that's the only reason 😏",0
"3550",3550,"RT @3CLMT: Upskill fatigue: will hybrid and hyflex tip academics over the edge? | Times Higher Education (THE) https://t.co/FFzpqTsOuh #hig…",0
"3551",3551,"@PictureTheSouth @virginiafoxx Boy; that’s vomit-inducing.",0
"3553",3553,"Broke bitches make me nauseous.",0
"3554",3554,"JAB UPDATE: OW. Chills; headache; skin not willing to be touched. Please make this go away soon. #COVIDSUCKS and so… https://t.co/hskeD6LK15",0
"3562",3562,"My upstairs neighbours will not stop screaming at each other so I will throw up EVEN LOUDER",0
"3563",3563,"I want so badly to just crush my hematite ring for absolutely no reason at all except for the fact I'd feel pretty cool doing it",0
"3564",3564,"Hey @PremierScottMoe Covid patients are coughing in this cardiology nurses face. Can she please have a vaccine? https://t.co/bMzkTjZQFR",0
"3565",3565,"@ShayeGanam Yeah cabin fever sucks ; enjoy life people ; over 3;000;000 world wide will never be able to over spend… https://t.co/VVFeLsenSL",0
"3566",3566,"There’s no better day than this to crack my bottle of Spicy P Sauce 🌶 https://t.co/V5TaQSJe4Y",0
"3567",3567,"ꕥ Fever Dream ꕥ  https://t.co/CjqhhUhKgq",0
"3570",3570,"RT @GlobalSaskatoon: A Global News photographer witnessed a person being handcuffed and placed in a police car; though Saskatoon police did…",0
"3571",3571,"@jones_diarrhea @thepaulasuzanne 😬 yikes",0
"3574",3574,"RT @jjremone: I will continue to defend this movie. It has its flaws *cough cough Lex Luther cough cough* but I think Zack Snyder did a gre…",0
"3576",3576,"Vaccines have changed our world. Diseases like Whooping Cough (Pertussis), Mumps, Diphtheria, &amp; Polio are debilitating, painful, life-altering &amp; can be fatal. And they were once common! #VaccinesWork https://t.co/l6gxw0S4FC",0
"3577",3577,"RT @SaskSportsHF: We are open until 8 p.m. this evening. If you kids have cabin fever; it is nice and warm inside and our sports simulator…",0
"3581",3581,"Its almost like Rosie was vomitting in this tweet. https://t.co/NunoHVLr7b",0
"3582",3582,"@KansasCityMedia @ChiefstalkNFL @PatrickMahomes I got chills",0
"3584",3584,"@niksandnacs Yikes! I hate chills. Don't have them yet; nor fever; but feel very odd",0
"3585",3585,"Asked the bartender for Corona with Lime. He coughed on me and threw me a tick...",0
"3586",3586,"@Backupbostonir1 Got my first Pfizer Wednesday... slight headache in the hours after...but Tylenol took care of it.… https://t.co/dUwfx9jMUE",0
"3587",3587,"I’m not fatigued by the actual virus; I can follow PHO and do what needs done; but I am so utterly and completely e… https://t.co/YiHohJ1wyv",0
"3590",3590,"yessiree bob https://t.co/hRhQr16hL5",0
"3592",3592,"@r_thistleton @eugenegu With this mindset; you’ll soon be surrounded only by people who think exactly like you. IMO… https://t.co/Nvj5tr5GvA",0
"3593",3593,"@HardToSwalla @PFTompkins Not bad for a guy who is brand new to Twitter *cough*",0
"3599",3599,"been a slice. dumb while it lasted. #Crossfit https://t.co/YPLJoNF7Fc",0
"3603",3603,"@NatsuSatsuLuvsU Just a little feverish. 😅",1
"3604",3604,"This is outstanding. Can the NBA fill the seats with Disney stuffies when they start?! https://t.co/Vdwyl0HMGO",0
"3606",3606,"@TundeTASH I think 2days; no changes or cough.",0
"3607",3607,"@TundeTASH This man who seemed like he was under the influence coughed on me at work a few days ago; i wanted to strangle him so bad.",1
"3610",3610,"@leahidc Cough cough ADHD cough",0
"3612",3612,"RT @SMGCUTYOUOFF: I woke up with a headache that's always lovely. 🤢",1
"3616",3616,"@cdnbeer Due to rapid changes in barometric pressure I’ve had several co-workers complain of headaches this week to… https://t.co/nNu0K4xsRQ",0
"3617",3617,"Is it possible that my cat, Monkey, uses my head as a #punching bag? I've woken up with a headache strong enough to drop a moose to its knees. 🥴 https://t.co/l87vuA9Si5",0
"3618",3618,"@JosefssonUlf Mr.J, fever is the cardinal sign of flu.  That hard sign is what separates your S and S’s from a generic cold...that and the toilet action.  Def time for a test, just advice.  Best of luck",0
"3619",3619,"@danawhite thanks for sharing Mr. White.   That sent chills down my spine!!!!  Congrats and best of luck on Saturday",0
"3620",3620,"RT @jessicasmw: 48 hours off Twitter and it seems it wasn't fever dreams after all 😅  - #Bitcoin hit all-time highs (again)  - Elon's futur…",0
"3622",3622,"No Anne thread today. Headache-ing instead. We'll do one tomorrow instead.",0
"3624",3624,"@flamesfever I agree with you. I think valimaki is goin to do great thing also",0
"3626",3626,"@cherylcanadianw @mcraesocial And we should ask anyone coughing to wear a mask in public now and into the future. I… https://t.co/jq7IjvC4tp",0
"3628",3628,"@JenTusch Did anyone else throw up a little bit in their mouths?!🤭🤢🤮",0
"3629",3629,"@StopThe403 @belle_levesque I really wanted to vomit after I read that story. I was so angry.",0
"3631",3631,"Rest easy Alex 🇨🇦 Ugh. 2020 can eff off.",0
"3632",3632,"So are we actually referencing the alphabet soup that Donald Trump vomited all the fabric of intellect and reason?… https://t.co/5BlkqxoR3J",0
"3635",3635,"#wfh upside: I don't have to go out and fight the snow and -27 windchills today. Downside? I don't get a day off be… https://t.co/4aPpF5736Y",0
"3640",3640,"@flamesfever lol; what a joke right?",0
"3641",3641,"@BrymOlawale I just told my supervisor that I'm not fit for work today anymore; cos my fever is 'Yellow'",0
"3642",3642,"@VGKRaiders @julcasagrande Ouch; my puppies eat each other’s vomit; kinda gross!",0
"3643",3643,"RT @CTVAlison: The Hansen-Ross house in Fort Qu’Appelle is showcasing a chainsaw artist. @CTVYorkton https://t.co/IRPCskJ1O1",0
"3644",3644,"@KeeganMatheson Is this the 'he has a cough and we need a fresh bullpen arm' move? Lol",0
"3645",3645,"Shaved my face; so I reduce the amount I touch it. Shaved my face; so I reduce the amount I like it. #COVID19SK #COVID19",0
"3646",3646,"@JimMcDoNut @EricaWithAnO @eatatjoes73 Thanks. I was looking for something to induce a vomit.",0
"3648",3648,"@Janelletemple A single cough !",0
"3649",3649,"We can't help with your coronavirus, but if you've got TRIVIA FEVER then hit up @theowlbar tonight! The doctors are in at 8pm with questions on yoga poses, MTV VJs, and body mods.

Stats and a free answer:
https://t.co/n099Hn8BQi

#itisthursdatmydudes #pubtrivia #smartypints https://t.co/pRrb7LKNx0",0
"3651",3651,"RT @zakvescera: 'Inmate Phillip Morin was coughing and sniffling in a phone call with The StarPhoenix on Friday; saying he felt like his lu…",1
"3652",3652,"I don't have any other symptoms that would indicate covid; but a week long cough by itself is scary enough for me.… https://t.co/33G1IJFo71",1
"3653",3653,"@Kuch1 @PremierScottMoe @ryanmeili Nauseating 🤮",0
"3654",3654,"@bblnkb when you tell them that you saw the impostor kill and then they vote you out😭",0
"3660",3660,"@RadiantxDreams I get a lot of headaches. The doctors tell me it's the fibromyalgia. That one was bad. Most are as bad. Thanks.",0
"3665",3665,"@gtconway3d @ktumulty Do you have a fever?",1
"3666",3666,"@Gartet @lanceluchador @HalloweenHalpin @themigs @WrestleHangout @orangecassidy @PHeeterPro @JeffyWrestling… https://t.co/STLuyHYelF",0
"3669",3669,"@brynrk I don't solely because I'm high risk and with my luck I'd get the extra crazy one that decides to cough in my face",0
"3670",3670,"@ParallaxStudio I “levelled up” my contribution by a couple of tiers yesterday. Couldn’t resist the exclusive Fever Dreams poster and an extra copy of the exclusive comic.",0
"3672",3672,"This is what happens when you mix cabin fever with May 2-4. Via - @drivingdotca   https://t.co/9A5ub7iz7K",0
"3673",3673,"@TaylorMacP *cough* India *cough*",0
"3674",3674,"@AlleyCatCleopat @DocMcQuinn @mmpadellan Doesn't it make you want to throw up?",0
